Namespace(batch_size=36, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='exp', lr=0.001, momentum=0.9, no_cuda=False, num_points=1024, seed=1029, test_batch_size=2, use_sgd=True)
Using GPU : 0 in 1 devices
Test 42, loss: 1.840897, test acc: 0.838331, test avg acc: 0.768407
Train 43, loss: 1.817577, train acc: 0.794770, train avg acc: 0.688189
Test 43, loss: 1.892718, test acc: 0.836305, test avg acc: 0.727576
Train 44, loss: 1.804447, train acc: 0.799044, train avg acc: 0.693480
Test 44, loss: 1.778794, test acc: 0.815235, test avg acc: 0.723587
Train 45, loss: 1.793945, train acc: 0.798738, train avg acc: 0.694415
Test 45, loss: 1.661676, test acc: 0.861831, test avg acc: 0.772483
Train 46, loss: 1.799203, train acc: 0.801994, train avg acc: 0.697087
Test 46, loss: 1.832863, test acc: 0.839546, test avg acc: 0.761233
Train 47, loss: 1.788848, train acc: 0.805657, train avg acc: 0.703379
Test 47, loss: 1.718522, test acc: 0.862642, test avg acc: 0.773599
Train 48, loss: 1.785978, train acc: 0.812169, train avg acc: 0.712812
Test 48, loss: 1.686013, test acc: 0.851702, test avg acc: 0.765203
Train 49, loss: 1.781638, train acc: 0.809829, train avg acc: 0.712190
Test 49, loss: 1.836767, test acc: 0.834279, test avg acc: 0.770122
Train 50, loss: 1.774128, train acc: 0.814001, train avg acc: 0.718344
Test 50, loss: 1.767210, test acc: 0.873582, test avg acc: 0.808186
Train 51, loss: 1.774968, train acc: 0.815222, train avg acc: 0.718267
Test 51, loss: 1.843771, test acc: 0.848460, test avg acc: 0.763122
Train 52, loss: 1.773848, train acc: 0.816545, train avg acc: 0.721614
Test 52, loss: 2.029733, test acc: 0.851297, test avg acc: 0.765093
Train 53, loss: 1.767156, train acc: 0.816850, train avg acc: 0.721891
Test 53, loss: 1.858196, test acc: 0.824959, test avg acc: 0.745110
Train 54, loss: 1.761472, train acc: 0.821836, train avg acc: 0.727225
Test 54, loss: 1.629268, test acc: 0.861831, test avg acc: 0.775267
Train 55, loss: 1.763267, train acc: 0.819292, train avg acc: 0.725287
Test 55, loss: 1.609171, test acc: 0.866288, test avg acc: 0.796192
Train 56, loss: 1.757418, train acc: 0.819801, train avg acc: 0.722770
Test 56, loss: 1.740293, test acc: 0.826580, test avg acc: 0.721517
Train 57, loss: 1.765389, train acc: 0.813390, train avg acc: 0.715519
Test 57, loss: 1.949201, test acc: 0.854943, test avg acc: 0.759134
Train 58, loss: 1.761091, train acc: 0.818885, train avg acc: 0.725249
Test 58, loss: 1.605251, test acc: 0.871961, test avg acc: 0.797738
Train 59, loss: 1.746731, train acc: 0.824685, train avg acc: 0.730562
Test 59, loss: 1.788486, test acc: 0.881280, test avg acc: 0.817593
Train 60, loss: 1.748254, train acc: 0.824278, train avg acc: 0.736147
Test 60, loss: 1.780937, test acc: 0.852107, test avg acc: 0.765831
Train 61, loss: 1.738349, train acc: 0.830179, train avg acc: 0.740893
Test 61, loss: 1.656395, test acc: 0.852917, test avg acc: 0.802267
Train 62, loss: 1.730913, train acc: 0.830891, train avg acc: 0.741781
Test 62, loss: 1.756198, test acc: 0.872771, test avg acc: 0.810663
Train 63, loss: 1.742556, train acc: 0.824888, train avg acc: 0.734699
Test 63, loss: 1.719522, test acc: 0.873582, test avg acc: 0.825355
Train 64, loss: 1.731183, train acc: 0.827228, train avg acc: 0.737318
Test 64, loss: 1.781785, test acc: 0.869935, test avg acc: 0.795855
Train 65, loss: 1.729485, train acc: 0.833842, train avg acc: 0.749137
Test 65, loss: 1.789828, test acc: 0.863857, test avg acc: 0.767727
